Time (s)    Heave_Spectrum (m)    Heave_Eta (m)    Difference (m)
    27.345         -2.59018906       -2.59018906        3.5407e-12
    27.360         -2.58928826       -2.58928826        3.4963e-12
    27.375         -2.58821792       -2.58821792        3.4510e-12
    27.390         -2.58697878       -2.58697878        3.4044e-12
    27.405         -2.58557164       -2.58557164        3.3569e-12
    27.420         -2.58399737       -2.58399737        3.3085e-12
    27.435         -2.58225689       -2.58225689        3.2592e-12
    27.450         -2.58035120       -2.58035120        3.2094e-12
    27.465         -2.57828139       -2.57828139        3.1588e-12
    27.480         -2.57604857       -2.57604857        3.1073e-12
    27.495         -2.57365395       -2.57365395        3.0544e-12
    27.510         -2.57109880       -2.57109880        3.0012e-12
    27.525         -2.56838443       -2.56838443        2.9470e-12
    27.540         -2.56551225       -2.56551225        2.8919e-12
    27.555         -2.56248371       -2.56248371        2.8360e-12
    27.570         -2.55930032       -2.55930032        2.7800e-12
    27.585         -2.55596366       -2.55596366        2.7232e-12
    27.600         -2.55247538       -2.55247538        2.6654e-12
    27.615         -2.54883718       -2.54883718        2.6072e-12
    27.630         -2.54505081       -2.54505081        2.5482e-12
    27.645         -2.54111808       -2.54111808        2.4887e-12
    27.660         -2.53704088       -2.53704088        2.4287e-12
    27.675         -2.53282114       -2.53282114        2.3679e-12
    27.690         -2.52846084       -2.52846084        2.3066e-12
    27.705         -2.52396203       -2.52396203        2.2449e-12
    27.720         -2.51932679       -2.51932679        2.1827e-12
    27.735         -2.51455729       -2.51455729        2.1201e-12
    27.750         -2.50965572       -2.50965572        2.0566e-12
    27.765         -2.50462433       -2.50462433        1.9931e-12
    27.780         -2.49946543       -2.49946543        1.9291e-12
    27.795         -2.49418136       -2.49418136        1.8643e-12
    27.810         -2.48877452       -2.48877452        1.7994e-12
    27.825         -2.48324737       -2.48324737        1.7342e-12
    27.840         -2.47760238       -2.47760238        1.6684e-12
    27.855         -2.47184210       -2.47184210        1.6023e-12
    27.870         -2.46596911       -2.46596911        1.5361e-12
    27.885         -2.45998602       -2.45998602        1.4695e-12
    27.900         -2.45389549       -2.45389549        1.4024e-12
    27.915         -2.44770024       -2.44770024        1.3354e-12
    27.930         -2.44140300       -2.44140300        1.2683e-12
    27.945         -2.43500655       -2.43500655        1.2013e-12
    27.960         -2.42851370       -2.42851370        1.1338e-12
    27.975         -2.42192730       -2.42192730        1.0663e-12
    27.990         -2.41525024       -2.41525024        9.9876e-13
    28.005         -2.40848544       -2.40848544        9.3126e-13
    28.020         -2.40163583       -2.40163583        8.6331e-13
    28.035         -2.39470440       -2.39470440        7.9536e-13
    28.050         -2.38769415       -2.38769415        7.2786e-13
    28.065         -2.38060811       -2.38060811        6.6036e-13
    28.080         -2.37344935       -2.37344935        5.9330e-13
    28.095         -2.36622094       -2.36622094        5.2580e-13
    28.110         -2.35892599       -2.35892599        4.5874e-13
    28.125         -2.35156763       -2.35156763        3.9169e-13
    28.140         -2.34414901       -2.34414901        3.2507e-13
    28.155         -2.33667330       -2.33667330        2.5846e-13
    28.170         -2.32914367       -2.32914367        1.9229e-13
    28.185         -2.32156334       -2.32156334        1.2612e-13
    28.200         -2.31393551       -2.31393551        6.0840e-14
    28.215         -2.30626342       -2.30626342       -4.4409e-15
    28.230         -2.29855031       -2.29855031       -6.9278e-14
    28.245         -2.29079943       -2.29079943       -1.3411e-13
    28.260         -2.28301404       -2.28301404       -1.9806e-13
    28.275         -2.27519741       -2.27519741       -2.6157e-13
    28.290         -2.26735281       -2.26735281       -3.2463e-13
    28.305         -2.25948353       -2.25948353       -3.8725e-13
    28.320         -2.25159285       -2.25159285       -4.4897e-13
    28.335         -2.24368406       -2.24368406       -5.1026e-13
    28.350         -2.23576043       -2.23576043       -5.7110e-13
    28.365         -2.22782526       -2.22782526       -6.3149e-13
    28.380         -2.21988183       -2.21988183       -6.9145e-13
    28.395         -2.21193341       -2.21193341       -7.5051e-13
    28.410         -2.20398328       -2.20398328       -8.0913e-13
    28.425         -2.19603471       -2.19603471       -8.6686e-13
    28.440         -2.18809094       -2.18809094       -9.2415e-13
    28.455         -2.18015525       -2.18015525       -9.8010e-13
    28.470         -2.17223085       -2.17223085       -1.0356e-12
    28.485         -2.16432097       -2.16432097       -1.0902e-12
    28.500         -2.15642884       -2.15642884       -1.1440e-12
    28.515         -2.14855764       -2.14855764       -1.1968e-12
    28.530         -2.14071054       -2.14071054       -1.2488e-12
    28.545         -2.13289073       -2.13289073       -1.3003e-12
    28.560         -2.12510133       -2.12510133       -1.3505e-12
    28.575         -2.11734546       -2.11734546       -1.3998e-12
    28.590         -2.10962623       -2.10962623       -1.4486e-12
    28.605         -2.10194672       -2.10194672       -1.4961e-12
    28.620         -2.09430996       -2.09430996       -1.5428e-12
    28.635         -2.08671899       -2.08671899       -1.5885e-12
    28.650         -2.07917680       -2.07917680       -1.6329e-12
    28.665         -2.07168636       -2.07168636       -1.6764e-12
    28.680         -2.06425061       -2.06425061       -1.7191e-12
    28.695         -2.05687246       -2.05687246       -1.7608e-12
    28.710         -2.04955477       -2.04955477       -1.8012e-12
    28.725         -2.04230039       -2.04230039       -1.8403e-12
    28.740         -2.03511212       -2.03511212       -1.8781e-12
    28.755         -2.02799272       -2.02799272       -1.9154e-12
    28.770         -2.02094494       -2.02094494       -1.9513e-12
    28.785         -2.01397145       -2.01397145       -1.9860e-12
    28.800         -2.00707492       -2.00707492       -2.0193e-12
    28.815         -2.00025795       -2.00025795       -2.0517e-12
    28.830         -1.99352310       -1.99352310       -2.0828e-12
    28.845         -1.98687291       -1.98687291       -2.1125e-12
    28.860         -1.98030985       -1.98030985       -2.1412e-12
    28.875         -1.97383636       -1.97383636       -2.1687e-12
    28.890         -1.96745482       -1.96745482       -2.1949e-12
    28.905         -1.96116757       -1.96116757       -2.2198e-12
    28.920         -1.95497691       -1.95497691       -2.2433e-12
    28.935         -1.94888508       -1.94888508       -2.2657e-12
    28.950         -1.94289426       -1.94289426       -2.2868e-12
    28.965         -1.93700660       -1.93700660       -2.3066e-12
    28.980         -1.93122418       -1.93122418       -2.3253e-12
    28.995         -1.92554904       -1.92554904       -2.3423e-12
    29.010         -1.91998315       -1.91998315       -2.3581e-12
    29.025         -1.91452843       -1.91452843       -2.3728e-12
    29.040         -1.90918677       -1.90918677       -2.3861e-12
    29.055         -1.90395995       -1.90395995       -2.3983e-12
    29.070         -1.89884975       -1.89884975       -2.4090e-12
    29.085         -1.89385786       -1.89385786       -2.4183e-12
    29.100         -1.88898590       -1.88898590       -2.4265e-12
    29.115         -1.88423546       -1.88423546       -2.4334e-12
    29.130         -1.87960805       -1.87960805       -2.4387e-12
    29.145         -1.87510512       -1.87510512       -2.4429e-12
    29.160         -1.87072808       -1.87072808       -2.4458e-12
    29.175         -1.86647824       -1.86647824       -2.4476e-12
    29.190         -1.86235688       -1.86235688       -2.4478e-12
    29.205         -1.85836520       -1.85836520       -2.4469e-12
    29.220         -1.85450435       -1.85450435       -2.4447e-12
    29.235         -1.85077539       -1.85077539       -2.4412e-12
    29.250         -1.84717934       -1.84717934       -2.4363e-12
    29.265         -1.84371714       -1.84371714       -2.4301e-12
    29.280         -1.84038968       -1.84038968       -2.4225e-12
    29.295         -1.83719777       -1.83719777       -2.4138e-12
    29.310         -1.83414215       -1.83414215       -2.4039e-12
    29.325         -1.83122352       -1.83122352       -2.3925e-12
    29.340         -1.82844247       -1.82844247       -2.3801e-12
    29.355         -1.82579956       -1.82579956       -2.3666e-12
    29.370         -1.82329527       -1.82329527       -2.3517e-12
    29.385         -1.82093000       -1.82093000       -2.3355e-12
    29.400         -1.81870411       -1.81870411       -2.3179e-12
    29.415         -1.81661787       -1.81661787       -2.2993e-12
    29.430         -1.81467149       -1.81467149       -2.2795e-12
    29.445         -1.81286510       -1.81286510       -2.2584e-12
    29.460         -1.81119878       -1.81119878       -2.2362e-12
    29.475         -1.80967253       -1.80967253       -2.2129e-12
    29.490         -1.80828628       -1.80828628       -2.1887e-12
    29.505         -1.80703991       -1.80703991       -2.1632e-12
    29.520         -1.80593321       -1.80593321       -2.1365e-12
    29.535         -1.80496590       -1.80496590       -2.1090e-12
    29.550         -1.80413767       -1.80413767       -2.0803e-12
    29.565         -1.80344809       -1.80344809       -2.0508e-12
    29.580         -1.80289670       -1.80289670       -2.0202e-12
    29.595         -1.80248295       -1.80248295       -1.9884e-12
    29.610         -1.80220624       -1.80220624       -1.9558e-12
    29.625         -1.80206590       -1.80206590       -1.9220e-12
    29.640         -1.80206119       -1.80206119       -1.8874e-12
    29.655         -1.80219129       -1.80219129       -1.8516e-12
    29.670         -1.80245533       -1.80245533       -1.8152e-12
    29.685         -1.80285239       -1.80285239       -1.7777e-12
    29.700         -1.80338144       -1.80338144       -1.7393e-12
    29.715         -1.80404143       -1.80404143       -1.7002e-12
    29.730         -1.80483123       -1.80483123       -1.6602e-12
    29.745         -1.80574964       -1.80574964       -1.6196e-12
    29.760         -1.80679539       -1.80679539       -1.5781e-12
    29.775         -1.80796717       -1.80796717       -1.5357e-12
    29.790         -1.80926360       -1.80926360       -1.4926e-12
    29.805         -1.81068322       -1.81068322       -1.4486e-12
    29.820         -1.81222454       -1.81222454       -1.4042e-12
    29.835         -1.81388599       -1.81388599       -1.3589e-12
    29.850         -1.81566593       -1.81566593       -1.3132e-12
    29.865         -1.81756270       -1.81756270       -1.2668e-12
    29.880         -1.81957454       -1.81957454       -1.2197e-12
    29.895         -1.82169966       -1.82169966       -1.1720e-12
    29.910         -1.82393620       -1.82393620       -1.1238e-12
    29.925         -1.82628225       -1.82628225       -1.0751e-12
    29.940         -1.82873584       -1.82873584       -1.0258e-12
    29.955         -1.83129496       -1.83129496       -9.7611e-13
    29.970         -1.83395752       -1.83395752       -9.2593e-13
    29.985         -1.83672141       -1.83672141       -8.7552e-13
    30.000         -1.83958445       -1.83958445       -8.2467e-13
    30.015         -1.84254440       -1.84254440       -7.7338e-13
    30.030         -1.84559900       -1.84559900       -7.2187e-13
    30.045         -1.84874593       -1.84874593       -6.7013e-13
    30.060         -1.85198280       -1.85198280       -6.1795e-13
    30.075         -1.85530720       -1.85530720       -5.6555e-13
    30.090         -1.85871666       -1.85871666       -5.1292e-13
    30.105         -1.86220869       -1.86220869       -4.6008e-13
    30.120         -1.86578074       -1.86578074       -4.0701e-13
    30.135         -1.86943020       -1.86943020       -3.5394e-13
    30.150         -1.87315445       -1.87315445       -3.0087e-13
    30.165         -1.87695081       -1.87695081       -2.4758e-13
    30.180         -1.88081658       -1.88081658       -1.9429e-13
    30.195         -1.88474902       -1.88474902       -1.4100e-13
    30.210         -1.88874533       -1.88874533       -8.7708e-14
    30.225         -1.89280270       -1.89280270       -3.4417e-14
    30.240         -1.89691829       -1.89691829        1.8874e-14
    30.255         -1.90108920       -1.90108920        7.1942e-14
    30.270         -1.90531253       -1.90531253        1.2501e-13
    30.285         -1.90958534       -1.90958534        1.7786e-13
    30.300         -1.91390466       -1.91390466        2.3048e-13
    30.315         -1.91826748       -1.91826748        2.8288e-13
    30.330         -1.92267080       -1.92267080        3.3507e-13
    30.345         -1.92711155       -1.92711155        3.8702e-13
    30.360         -1.93158669       -1.93158669        4.3854e-13
    30.375         -1.93609312       -1.93609312        4.8983e-13
    30.390         -1.94062772       -1.94062772        5.4068e-13
    30.405         -1.94518738       -1.94518738        5.9108e-13
    30.420         -1.94976896       -1.94976896        6.4126e-13
    30.435         -1.95436929       -1.95436929        6.9100e-13
    30.450         -1.95898521       -1.95898521        7.4030e-13
    30.465         -1.96361353       -1.96361353        7.8892e-13
    30.480         -1.96825105       -1.96825105        8.3711e-13
    30.495         -1.97289458       -1.97289458        8.8485e-13
    30.510         -1.97754091       -1.97754091        9.3192e-13
    30.525         -1.98218681       -1.98218681        9.7833e-13
    30.540         -1.98682907       -1.98682907        1.0243e-12
    30.555         -1.99146447       -1.99146447        1.0694e-12
    30.570         -1.99608976       -1.99608976        1.1138e-12
    30.585         -2.00070174       -2.00070174        1.1577e-12
    30.600         -2.00529718       -2.00529718        1.2008e-12
    30.615         -2.00987285       -2.00987285        1.2430e-12
    30.630         -2.01442554       -2.01442554        1.2843e-12
    30.645         -2.01895204       -2.01895204        1.3247e-12
    30.660         -2.02344915       -2.02344915        1.3647e-12
    30.675         -2.02791367       -2.02791367        1.4038e-12
    30.690         -2.03234243       -2.03234243        1.4420e-12
    30.705         -2.03673224       -2.03673224        1.4793e-12
    30.720         -2.04107997       -2.04107997        1.5157e-12
    30.735         -2.04538246       -2.04538246        1.5512e-12
    30.750         -2.04963659       -2.04963659        1.5854e-12
    30.765         -2.05383927       -2.05383927        1.6191e-12
    30.780         -2.05798740       -2.05798740        1.6516e-12
    30.795         -2.06207792       -2.06207792        1.6831e-12
    30.810         -2.06610780       -2.06610780        1.7133e-12
    30.825         -2.07007401       -2.07007401        1.7426e-12
    30.840         -2.07397358       -2.07397358        1.7710e-12
    30.855         -2.07780353       -2.07780353        1.7981e-12
    30.870         -2.08156094       -2.08156094        1.8239e-12
    30.885         -2.08524291       -2.08524291        1.8487e-12
    30.900         -2.08884656       -2.08884656        1.8727e-12
    30.915         -2.09236906       -2.09236906        1.8954e-12
    30.930         -2.09580761       -2.09580761        1.9167e-12
    30.945         -2.09915944       -2.09915944        1.9367e-12
    30.960         -2.10242183       -2.10242183        1.9558e-12
    30.975         -2.10559208       -2.10559208        1.9735e-12
    30.990         -2.10866755       -2.10866755        1.9900e-12
    31.005         -2.11164563       -2.11164563        2.0055e-12
    31.020         -2.11452376       -2.11452376        2.0197e-12
    31.035         -2.11729942       -2.11729942        2.0326e-12
    31.050         -2.11997013       -2.11997013        2.0441e-12
    31.065         -2.12253346       -2.12253346        2.0544e-12
    31.080         -2.12498704       -2.12498704        2.0632e-12
    31.095         -2.12732854       -2.12732854        2.0708e-12
    31.110         -2.12955567       -2.12955567        2.0770e-12
    31.125         -2.13166620       -2.13166620        2.0819e-12
    31.140         -2.13365797       -2.13365797        2.0854e-12
    31.155         -2.13552884       -2.13552884        2.0877e-12
    31.170         -2.13727675       -2.13727675        2.0886e-12
    31.185         -2.13889968       -2.13889968        2.0881e-12
    31.200         -2.14039569       -2.14039569        2.0863e-12
    31.215         -2.14176287       -2.14176287        2.0832e-12
    31.230         -2.14299939       -2.14299939        2.0788e-12
    31.245         -2.14410346       -2.14410346        2.0726e-12
    31.260         -2.14507337       -2.14507337        2.0650e-12
    31.275         -2.14590746       -2.14590746        2.0561e-12
    31.290         -2.14660413       -2.14660413        2.0459e-12
    31.305         -2.14716186       -2.14716186        2.0344e-12
    31.320         -2.14757917       -2.14757917        2.0215e-12
    31.335         -2.14785467       -2.14785467        2.0073e-12
    31.350         -2.14798701       -2.14798701        1.9917e-12
    31.365         -2.14797493       -2.14797493        1.9749e-12
    31.380         -2.14781722       -2.14781722        1.9567e-12
    31.395         -2.14751274       -2.14751274        1.9367e-12
    31.410         -2.14706043       -2.14706043        1.9154e-12
    31.425         -2.14645928       -2.14645928        1.8927e-12
    31.440         -2.14570836       -2.14570836        1.8692e-12
    31.455         -2.14480680       -2.14480680        1.8439e-12
    31.470         -2.14375383       -2.14375383        1.8172e-12
    31.485         -2.14254871       -2.14254871        1.7897e-12
    31.500         -2.14119080       -2.14119080        1.7608e-12
    31.515         -2.13967951       -2.13967951        1.7302e-12
    31.530         -2.13801434       -2.13801434        1.6986e-12
    31.545         -2.13619486       -2.13619486        1.6658e-12
    31.560         -2.13422069       -2.13422069        1.6316e-12
    31.575         -2.13209155       -2.13209155        1.5961e-12
    31.590         -2.12980722       -2.12980722        1.5592e-12
    31.605         -2.12736755       -2.12736755        1.5214e-12
    31.620         -2.12477246       -2.12477246        1.4824e-12
    31.635         -2.12202197       -2.12202197        1.4420e-12
    31.650         -2.11911613       -2.11911613        1.4002e-12
    31.665         -2.11605510       -2.11605510        1.3576e-12
    31.680         -2.11283909       -2.11283909        1.3136e-12
    31.695         -2.10946839       -2.10946839        1.2683e-12
    31.710         -2.10594337       -2.10594337        1.2221e-12
    31.725         -2.10226447       -2.10226447        1.1751e-12
    31.740         -2.09843218       -2.09843218        1.1267e-12
    31.755         -2.09444710       -2.09444710        1.0774e-12
    31.770         -2.09030987       -2.09030987        1.0267e-12
    31.785         -2.08602122       -2.08602122        9.7478e-13
    31.800         -2.08158195       -2.08158195        9.2193e-13
    31.815         -2.07699292       -2.07699292        8.6819e-13
    31.830         -2.07225508       -2.07225508        8.1357e-13
    31.845         -2.06736942       -2.06736942        7.5762e-13
    31.860         -2.06233702       -2.06233702        7.0122e-13
    31.875         -2.05715905       -2.05715905        6.4349e-13
    31.890         -2.05183670       -2.05183670        5.8487e-13
    31.905         -2.04637127       -2.04637127        5.2580e-13
    31.920         -2.04076410       -2.04076410        4.6585e-13
    31.935         -2.03501663       -2.03501663        4.0501e-13
    31.950         -2.02913033       -2.02913033        3.4328e-13
    31.965         -2.02310675       -2.02310675        2.8066e-13
    31.980         -2.01694752       -2.01694752        2.1760e-13
    31.995         -2.01065431       -2.01065431        1.5365e-13
    32.010         -2.00422888       -2.00422888        8.9262e-14
    32.025         -1.99767302       -1.99767302        2.3981e-14
    32.040         -1.99098861       -1.99098861       -4.1966e-14
    32.055         -1.98417759       -1.98417759       -1.0880e-13
    32.070         -1.97724194       -1.97724194       -1.7608e-13
    32.085         -1.97018371       -1.97018371       -2.4403e-13
    32.100         -1.96300502       -1.96300502       -3.1242e-13
    32.115         -1.95570803       -1.95570803       -3.8147e-13
    32.130         -1.94829497       -1.94829497       -4.5075e-13
    32.145         -1.94076812       -1.94076812       -5.2047e-13
    32.160         -1.93312981       -1.93312981       -5.9086e-13
    32.175         -1.92538243       -1.92538243       -6.6169e-13
    32.190         -1.91752842       -1.91752842       -7.3275e-13
    32.205         -1.90957027       -1.90957027       -8.0402e-13
    32.220         -1.90151052       -1.90151052       -8.7597e-13
    32.235         -1.89335177       -1.89335177       -9.4813e-13
    32.250         -1.88509665       -1.88509665       -1.0205e-12
    32.265         -1.87674784       -1.87674784       -1.0929e-12
    32.280         -1.86830808       -1.86830808       -1.1657e-12
    32.295         -1.85978015       -1.85978015       -1.2386e-12
    32.310         -1.85116685       -1.85116685       -1.3116e-12
    32.325         -1.84247106       -1.84247106       -1.3849e-12
    32.340         -1.83369566       -1.83369566       -1.4582e-12
    32.355         -1.82484360       -1.82484360       -1.5314e-12
    32.370         -1.81591785       -1.81591785       -1.6047e-12
    32.385         -1.80692142       -1.80692142       -1.6780e-12
    32.400         -1.79785737       -1.79785737       -1.7513e-12
    32.415         -1.78872877       -1.78872877       -1.8245e-12
    32.430         -1.77953874       -1.77953874       -1.8976e-12
    32.445         -1.77029042       -1.77029042       -1.9706e-12
    32.460         -1.76098699       -1.76098699       -2.0435e-12
    32.475         -1.75163164       -1.75163164       -2.1161e-12
    32.490         -1.74222760       -1.74222760       -2.1885e-12
    32.505         -1.73277813       -1.73277813       -2.2606e-12
    32.520         -1.72328651       -1.72328651       -2.3326e-12
    32.535         -1.71375603       -1.71375603       -2.4043e-12
    32.550         -1.70419002       -1.70419002       -2.4758e-12
    32.565         -1.69459181       -1.69459181       -2.5469e-12
    32.580         -1.68496476       -1.68496476       -2.6175e-12
    32.595         -1.67531224       -1.67531224       -2.6878e-12
    32.610         -1.66563765       -1.66563765       -2.7576e-12
    32.625         -1.65594439       -1.65594439       -2.8268e-12
    32.640         -1.64623586       -1.64623586       -2.8959e-12
    32.655         -1.63651550       -1.63651550       -2.9643e-12
    32.670         -1.62678674       -1.62678674       -3.0322e-12
    32.685         -1.61705301       -1.61705301       -3.0997e-12
    32.700         -1.60731777       -1.60731777       -3.1666e-12
    32.715         -1.59758447       -1.59758447       -3.2327e-12
    32.730         -1.58785656       -1.58785656       -3.2983e-12
    32.745         -1.57813750       -1.57813750       -3.3631e-12
    32.760         -1.56843074       -1.56843074       -3.4270e-12
    32.775         -1.55873974       -1.55873974       -3.4903e-12
    32.790         -1.54906795       -1.54906795       -3.5529e-12
    32.805         -1.53941882       -1.53941882       -3.6147e-12
    32.820         -1.52979580       -1.52979580       -3.6757e-12
    32.835         -1.52020230       -1.52020230       -3.7361e-12
    32.850         -1.51064177       -1.51064177       -3.7954e-12
    32.865         -1.50111761       -1.50111761       -3.8538e-12
    32.880         -1.49163324       -1.49163324       -3.9113e-12
    32.895         -1.48219203       -1.48219203       -3.9682e-12
    32.910         -1.47279738       -1.47279738       -4.0239e-12
    32.925         -1.46345264       -1.46345264       -4.0787e-12
    32.940         -1.45416115       -1.45416115       -4.1327e-12
    32.955         -1.44492624       -1.44492624       -4.1855e-12
    32.970         -1.43575121       -1.43575121       -4.2375e-12
    32.985         -1.42663936       -1.42663936       -4.2883e-12
    33.000         -1.41759394       -1.41759394       -4.3381e-12
    33.015         -1.40861819       -1.40861819       -4.3867e-12
    33.030         -1.39971532       -1.39971532       -4.4342e-12
    33.045         -1.39088852       -1.39088852       -4.4806e-12
    33.060         -1.38214094       -1.38214094       -4.5259e-12
    33.075         -1.37347572       -1.37347572       -4.5701e-12
    33.090         -1.36489596       -1.36489596       -4.6130e-12
    33.105         -1.35640472       -1.35640472       -4.6547e-12
    33.120         -1.34800503       -1.34800503       -4.6951e-12
    33.135         -1.33969990       -1.33969990       -4.7342e-12
    33.150         -1.33149230       -1.33149230       -4.7722e-12
    33.165         -1.32338515       -1.32338515       -4.8088e-12
    33.180         -1.31538134       -1.31538134       -4.8441e-12
    33.195         -1.30748373       -1.30748373       -4.8781e-12
    33.210         -1.29969513       -1.29969513       -4.9107e-12
    33.225         -1.29201831       -1.29201831       -4.9420e-12
    33.240         -1.28445601       -1.28445601       -4.9720e-12
    33.255         -1.27701091       -1.27701091       -5.0007e-12
    33.270         -1.26968566       -1.26968566       -5.0280e-12
    33.285         -1.26248286       -1.26248286       -5.0537e-12
    33.300         -1.25540506       -1.25540506       -5.0782e-12
    33.315         -1.24845476       -1.24845476       -5.1013e-12
    33.330         -1.24163443       -1.24163443       -5.1228e-12
    33.345         -1.23494648       -1.23494648       -5.1430e-12
    33.360         -1.22839327       -1.22839327       -5.1616e-12
    33.375         -1.22197711       -1.22197711       -5.1790e-12
    33.390         -1.21570026       -1.21570026       -5.1947e-12
    33.405         -1.20956493       -1.20956493       -5.2089e-12
    33.420         -1.20357326       -1.20357326       -5.2216e-12
    33.435         -1.19772738       -1.19772738       -5.2327e-12
    33.450         -1.19202932       -1.19202932       -5.2425e-12
    33.465         -1.18648107       -1.18648107       -5.2507e-12
    33.480         -1.18108457       -1.18108457       -5.2574e-12
    33.495         -1.17584171       -1.17584171       -5.2627e-12
    33.510         -1.17075431       -1.17075431       -5.2662e-12
    33.525         -1.16582413       -1.16582413       -5.2682e-12
    33.540         -1.16105289       -1.16105289       -5.2689e-12
    33.555         -1.15644223       -1.15644223       -5.2678e-12
    33.570         -1.15199375       -1.15199375       -5.2651e-12
    33.585         -1.14770898       -1.14770898       -5.2609e-12
    33.600         -1.14358940       -1.14358940       -5.2554e-12
    33.615         -1.13963641       -1.13963641       -5.2482e-12
    33.630         -1.13585136       -1.13585136       -5.2394e-12
    33.645         -1.13223556       -1.13223556       -5.2289e-12
    33.660         -1.12879022       -1.12879022       -5.2169e-12
    33.675         -1.12551652       -1.12551652       -5.2034e-12
    33.690         -1.12241556       -1.12241556       -5.1885e-12
    33.705         -1.11948838       -1.11948838       -5.1719e-12
    33.720         -1.11673598       -1.11673598       -5.1539e-12
    33.735         -1.11415927       -1.11415927       -5.1343e-12
    33.750         -1.11175910       -1.11175910       -5.1132e-12
    33.765         -1.10953627       -1.10953627       -5.0906e-12
    33.780         -1.10749151       -1.10749151       -5.0664e-12
    33.795         -1.10562550       -1.10562550       -5.0406e-12
    33.810         -1.10393883       -1.10393883       -5.0135e-12
    33.825         -1.10243205       -1.10243205       -4.9849e-12
    33.840         -1.10110564       -1.10110564       -4.9547e-12
    33.855         -1.09996002       -1.09996002       -4.9230e-12
    33.870         -1.09899554       -1.09899554       -4.8899e-12
    33.885         -1.09821250       -1.09821250       -4.8550e-12
    33.900         -1.09761113       -1.09761113       -4.8188e-12
    33.915         -1.09719159       -1.09719159       -4.7813e-12
    33.930         -1.09695399       -1.09695399       -4.7422e-12
    33.945         -1.09689838       -1.09689838       -4.7018e-12
    33.960         -1.09702473       -1.09702473       -4.6601e-12
    33.975         -1.09733297       -1.09733297       -4.6170e-12
    33.990         -1.09782296       -1.09782296       -4.5723e-12
    34.005         -1.09849450       -1.09849450       -4.5264e-12
    34.020         -1.09934733       -1.09934733       -4.4791e-12
    34.035         -1.10038113       -1.10038113       -4.4307e-12
    34.050         -1.10159552       -1.10159552       -4.3809e-12
    34.065         -1.10299006       -1.10299006       -4.3299e-12
    34.080         -1.10456426       -1.10456426       -4.2777e-12
    34.095         -1.10631755       -1.10631755       -4.2242e-12
    34.110         -1.10824933       -1.10824933       -4.1696e-12
    34.125         -1.11035893       -1.11035893       -4.1136e-12
    34.140         -1.11264563       -1.11264563       -4.0565e-12
    34.155         -1.11510863       -1.11510863       -3.9984e-12
    34.170         -1.11774710       -1.11774710       -3.9391e-12
    34.185         -1.12056016       -1.12056016       -3.8787e-12
    34.200         -1.12354685       -1.12354685       -3.8172e-12
    34.215         -1.12670617       -1.12670617       -3.7546e-12
    34.230         -1.13003708       -1.13003708       -3.6910e-12
    34.245         -1.13353847       -1.13353847       -3.6264e-12
    34.260         -1.13720918       -1.13720918       -3.5609e-12
    34.275         -1.14104800       -1.14104800       -3.4943e-12
    34.290         -1.14505369       -1.14505369       -3.4268e-12
    34.305         -1.14922494       -1.14922494       -3.3584e-12
    34.320         -1.15356039       -1.15356039       -3.2894e-12
    34.335         -1.15805864       -1.15805864       -3.2194e-12
    34.350         -1.16271824       -1.16271824       -3.1488e-12
    34.365         -1.16753771       -1.16753771       -3.0773e-12
    34.380         -1.17251549       -1.17251549       -3.0052e-12
    34.395         -1.17765002       -1.17765002       -2.9321e-12
    34.410         -1.18293965       -1.18293965       -2.8584e-12
    34.425         -1.18838273       -1.18838273       -2.7842e-12
    34.440         -1.19397754       -1.19397754       -2.7092e-12
    34.455         -1.19972233       -1.19972233       -2.6337e-12
    34.470         -1.20561531       -1.20561531       -2.5575e-12
    34.485         -1.21165465       -1.21165465       -2.4809e-12
    34.500         -1.21783847       -1.21783847       -2.4039e-12
    34.515         -1.22416488       -1.22416488       -2.3264e-12
    34.530         -1.23063193       -1.23063193       -2.2484e-12
    34.545         -1.23723765       -1.23723765       -2.1700e-12
    34.560         -1.24398002       -1.24398002       -2.0912e-12
    34.575         -1.25085700       -1.25085700       -2.0122e-12
    34.590         -1.25786651       -1.25786651       -1.9327e-12
    34.605         -1.26500644       -1.26500644       -1.8530e-12
    34.620         -1.27227466       -1.27227466       -1.7730e-12
    34.635         -1.27966899       -1.27966899       -1.6929e-12
    34.650         -1.28718725       -1.28718725       -1.6125e-12
    34.665         -1.29482719       -1.29482719       -1.5321e-12
    34.680         -1.30258658       -1.30258658       -1.4515e-12
    34.695         -1.31046314       -1.31046314       -1.3709e-12
    34.710         -1.31845456       -1.31845456       -1.2901e-12
    34.725         -1.32655853       -1.32655853       -1.2093e-12
    34.740         -1.33477269       -1.33477269       -1.1284e-12
    34.755         -1.34309468       -1.34309468       -1.0478e-12
    34.770         -1.35152211       -1.35152211       -9.6723e-13
    34.785         -1.36005257       -1.36005257       -8.8662e-13
    34.800         -1.36868364       -1.36868364       -8.0624e-13
    34.815         -1.37741286       -1.37741286       -7.2586e-13
    34.830         -1.38623778       -1.38623778       -6.4571e-13
    34.845         -1.39515593       -1.39515593       -5.6577e-13
    34.860         -1.40416481       -1.40416481       -4.8606e-13
    34.875         -1.41326192       -1.41326192       -4.0679e-13
    34.890         -1.42244475       -1.42244475       -3.2774e-13
    34.905         -1.43171075       -1.43171075       -2.4891e-13
